name,salary,employment_type,company_name,text,uid
 Бизнес-системный аналитик ,от 130 000 ₽ /на руки," Москва, Удалённо ", Билайн,"Итак, тебе предстоит: Погружение в исследуемую предметную область; Управление цепочкой требований от бизнес-целей до спецификаций и алгоритмов; Генерация, проработка идей по реализации требований; Обследование, оптимизация, изменение существующих бизнес-процессов и моделирование новых; Взаимодействие с владельцем продукта, составление user stories, use cases для разработки решений; Разработка системных требований к интеграционным сценариям; Проработка технических заданий с командой разработки; Участие в тестировании, приемке и внедрении новых функциональных возможностей; Согласование интеграционных спецификаций; Работа в дружной scrum-команде. Мы будем рады рассмотреть твою кандидатуру, если у тебя есть: Опыт работы в качестве системного/бизнес аналитика от 2-х лет; Знание основных форматов обмена данным (JSON, XML) и работа с ними в Postman, Swagger, Curl; Опыт использования инструментов управления разработкой (Jira, GitLab, Confluence); Понимание работы web/мобильного приложения; Опыт написания простых SQL-запросов (выборки, объединения); Понимание способов взаимодействия браузера и сервера: сессии, HTTP, AJAX; Умение моделировать процессы на любом уровне абстракций, формулировать на их основе гипотезы и предлагать решения. Мы предлагаем успешному кандидату корпоративные бонусы: Конкурентоспособная заработная плата (оклад+ годовой бонус); Сообщество – поддержка, развитие и возможность учиться у профессионалов своего дела; Удобные инструменты разработки – компания предоставит тебе необходимое ПО и мощный ноутбук; Свобода - Beefree - гибкий рабочий график и возможность работать удаленно; Комфорт - личный полис добровольного медицинского страхования с комфортным пакетом опций и служебная сотовая связь. ",42232
 Бизнес-аналитик ,80 000 - 90 000 ₽ /на руки, Москва , Спортмастер,"Задачи: Обследование, описание и анализ существующих бизнес-процессов, построение модели AS IS; Разработка предложений по оптимизации и автоматизации бизнес-процессов, построение модели TO BE; Обоснование предлагаемых решений; Подготовка отчетных и аналитических документов, справочных материалов, писем; Создание презентаций; Участие в разработке технических заданий и формировании экспертных заключений. Мы ждем от Вас: Высшее образование; Знание принципов построения бизнес-процессов логистических компаний и принципов разработки ПО; Знание методов сбора и обработки информации, различных способов ее визуализации; Навыки оптимизации бизнес-процессов и определения экономической целесообразности изменений; Умение работать в режиме многозадачности с большими объемами информации; Грамотная устная и письменная речь, высокий уровень эрудиции; Участие в проектах BI; Наличие процессного мышления. Мы предлагаем: График работы 5/2 с 9.00 до 18.00; Заработная плата полностью официальная до 90 000 р., квартальные премии до 100% от оклада; Перспективы профессионального, карьерного и финансового роста; Работа в крупной стабильной российской компании - лидере на рынке розничных торговли для спорта и отдыха; Корпоративная на продукцию сети магазинов Спортмастер, Ostin, FunDay; Обучение и сертификация за счет компании: онлайн-школы английского языка - Skyeng, Language Link,корпоративная библиотека Alpina Digital, дистанционное образование от университета «Синергия», а также множество других корпоративных программ и скидок; Корпоративный транспорт, дотация на питание в собственной столовой; Место работы: г.Балашиха мкр. Железнодорожный, Новомилетское шоссе, владение 2. ",42213
 HR менеджер ,75 000 - 80 000 ₽ /на руки, Удалённо , Presium,"Текущие задачи: Рекрутинг Размещать вакансии на релевантных площадках и работать с откликами, вести самостоятельный поиск специалистов, проводить собеседования, направлять тестовые задания, давать обратную связь кандидатам. Вести аналитику по рекрутингу и работать с полученными данными Позиции в направлении дизайна, консалтинга и аналитики, продаж, маркетинга и др. (напр., ux/ui, моушен, графический дизайнер, арт-директор, менеджер по продажам, проджект менеджер, менеджеры продукта, аналитик и др.) Онбординг и офбординг Организовывать пре- и онбординг новых сотрудников по отложенному механизму, предоставлять доступ к рабочим ресурсам, собирать обратную связь и поддерживать адаптацию Администрировать процесс офбординга по отлаженному сценарию Внутренние проекты HR Новые проекты и масштабирование отводятся на низкий сезон рекрутинга Совместно с руководителем, а также самостоятельно, предстоит запускать и курировать отдельные направления HR-функций, исходя из целей отдела и компании (напр. оценка / мотивация / корпоративная культура / обратная связь / прочее) HR-аналитика Вести аналитику по заданным HR-метрикам (рекрутинг и внутренние метрики), отслеживать динамику, реагировать и делать правильные выводы, предлагать решения для улучшения показателей Операционная зона Создавать инструкции, чеклисты и презентации для улучшения и оптимизации рабочих процессов в отделе / компании, помогать с решением орг. вопросов, при необходимости Требования: Опыт работы менеджером по персоналу, рекрутером, HR от 1 года инхаус в креативной среде (дизайн-студии, рекламные агентства) или IT-среде — обязательно Высшее образование или последний курс ВУЗа (важно, чтобы обучение позволяло работать фуллтайм) Умение грамотно и структурировано излагать свои мысли устно и письменно Уверенные навыки работы с GSuit, Power Point, Zoom / Google meet Высокий уровень ответственности и системности Искренний интерес к компании и понимание специфики digital среды Желание и возможность работать удаленно (оборудованное рабочее место, личный пк / ноутбук, стабильный интернет) Наличие внутренних драйверов роста в HR: осведомленность в тенденциях, практиках, новостях рынка, самообразование и непрерывная прокачка востребованных навыков Английский на уровне Intermediate или выше — большой плюс Опыт работы в HRM-системах — большой плюс Условия: Мы работаем в удаленном режиме, классический график работы компании с 10 до 19 по Мск. Готовы учесть разницу в часовом поясе, если она есть, для комфортного взаимодействия (не более 2-х часов с Мск) Четкая постановка заданий и своевременная коммуникация Активная помощь в погружении и материалы нашей внутренней Базы знаний Итоговые One-to-one встречи, много обратной связи Отсутствие бюрократии, возможность предлагать и реализовывать свои идеи и инициативы, отвечающие целям компании и отдела HR После испытательного периода (2 месяца) мы подведем итоги сотрудничества и определим дальнейшее взаимодействие Мотивация по результатам диалога, исходя из твоего текущего опыта и навыков ",42283
 Аналитик по маркетингу ,от 125 000 ₽ /на руки," Москва, Удалённо ", Пятёрочка,"Задачи: Оценка влияния и эффективности маркетинговых активностей, сбор данных по запуску пилотов, оценка локальных акций Прогнозирование и сегментация магазинов, клиентов Формирование аналитической отчетности для исследования маркетинговых показателей Построение комплексной аналитики для ритейла, в том числе с использованием системы визуализации Разработка, поддержка и улучшение отчетов и дашбордов, интерпретация, анализ данных для поиска закономерностей, причин и тенденций Участие в процессах автоматизации отчетов, оперативное формирование нестандартных отчетов, проведение ad-hoc запросов по запросу руководства Презентация данных для команды, совместный поиск идей для достижения целей бизнеса Наши пожелания: Высшее образование в направлениях: IT, экономика, бизнес-информатика Интересен опыт работы на позиции бизнес-аналитика, веб-аналитика или опыт работы по сбору и анализу статистики Опыт работы с большими массивами данных, навык обработки больших объемов информации, её интерпретации Умение быстро анализировать данные и делать на их основании выводы и рекомендации Знание методов сбора, оценки и анализа информации Использование методов работы со статистикой для анализа, прогнозов, выводов, рекомендаций Вы уверенно знаете и владеете: Excel (макросы, сложные формулы) SQL (составление сложных запросов) PowerPoint (подготовка презентаций на высоком уровне) Python Любым BI инструментом Условия: Гибридный или 99% удаленный формат работы! Оформление в соответствии с трудовым законодательством РФ Официальная заработная плата + KPI по результатам работы Медицинская страховка (ДМС) + страхование жизни Корпоративная мобильная связь Корпоративная скидка при покупке товаров в магазинах X5 Retail Group («Пятерочка», «Перекресток») Корпоративные скидки и предложения от партнёров ТС «Пятёрочка» Подарки детям (Новый год, 1 сентября) + компенсация стоимости путевки в детский лагерь Доплата к пособию по временной нетрудоспособности Возможность профессионального и карьерного развития ",42284
 Управляющий бизнес-аналитик (кредитный процесс) ,от 160 000 ₽ /на руки, Москва , Промсвязьбанк,"Обязанности: Подготовка требований к автоматизации по продуктам / процессам, связанным с кредитованием юридических лиц Внесение изменений в действующие бизнес-процессы Подготовка требований к автоматизации бизнес процессов в кредитном конвейере, системах мониторинга клиентов Подготовка требований к автоматизации продуктов и процессов цифрового кредитования (через ДБО / мобильные приложения) Управление командой разработки Требования: Высшее образование Опыт работы по разработке продуктов / процессов для юридических лиц Опыт работы по постановке задач на автоматизацию продуктов / кредитных процессов / автоматизации продуктов и процессов в системе ДБО / мобильных приложениях Опыт управления командой разработки Знание agile методологии Опыт работы в разработке и знание Oracle PL/SQL, Java, C-Sharp будут являться преимуществом Условия: График работы: пн-пт Официальное оформление в соответствии с ТК РФ Конкурентный уровень дохода: оклад + премии Медицинская страховка, страховка для выезжающих за границу Доплата к отпускному и больничному листу Дополнительные льготы при заключении брака и рождении детей Социальная поддержка при сложных жизненных ситуациях Льготное кредитование для сотрудников Обучение в корпоративном университете банка Корпоративная библиотека ",42268
 Исполнительный директор (аналитика и эффективность бизнеса) ,от 450 000 ₽ /на руки, Москва , СБЕР,"Обязанности сбор, анализ и разработка показателей эффективности B2C; управление командой аналитиков (20 человек); подготовка материалов к регулярным ревью; подготовка новостного контента для ТОП-менеджмента банка; анализ трендов, показателей бизнеса, поиск инициатив на увеличение дохода или уменьшение расходов; управление контентом BI-инструментов. Требования опыт работы в области аналитики, BI, анализа эффективности бизнеса от 3-х лет; опыт успешного руководства командой от 5 чел; продвинутые навыки анализа деятельности продуктов/каналов/сегментов, знание методологии расчета основных КПЭ, умение анализировать управленческую отчетность, выявлять сильные и слабые стороны бизнеса, готовить аналитические заключения для менеджмента; навыки работы с BI системами (Power BI, Qlik Sense); продвинутые навыки подготовки презентационных материалов, визуализации данных; высшее образование. Условия работа в крупнейшем банке России; трудоустройство согласно ТК РФ; регулярное корпоративное обучение; ДМС, страхование от несчастных случаев и тяжелых заболеваний; материальная помощь и социальная поддержка, корпоративная пенсионная программа; льготные условия кредитования; яркая и насыщенная корпоративная жизнь. ",42247
 Специалист по продукту (крепкий алкоголь) ,от 130 000 ₽ /на руки, Москва , Красное&Белое,"Обязанности: Анализ рынка, прогнозирование трендов в категориях. Анализ действующей матрицы, внедрение предложений по оптимизации. Изучение и анализ конъюнктуры рынка. Проведение тендеров среди поставщиков. Системный контроль качества текущего ассортимента. Участие в дегустациях новинок. Требования: Знание продукта (крепкий алкоголь) на высоком уровне: коньяк, виски, водка, ром, текила. Опыт работы от 3-х лет (кавист, сомелье, помощник сомелье и иные вакансии с высоким уровнем знания продукта). Хорошие навыки работы в Exсel. Знание и понимание основных коммерческих показателей. Дегустационный опыт. Знание английского языка не ниже Intermediate. Искренний интерес к продукту. Желание развиваться в отрасли. Условия: График работы: пн-пт, с 9-00 до 18-00 ч. Место работы: офис в Москва Сити (башня Меркурий). Официальное трудоустройство, соц. пакет. Заработная плата 3 раза в месяц на банковскую карту. Уровень заработной платы обсуждается по результатам оценки компетенций и экспертизы в категории! ",42269
 Системный аналитик ,от 180 000 ₽ /на руки, Москва , СБЕР,"Обязанности Сбор и написание бизнес-требований на витрины данных, отчетность. дашборды; декомпозиция требований до уровня требований и задач, необходимых (понятных) для разработчика; согласование требований с Заказчиком и командой по данным; Проработка структур данных для реализации в хранилище в тесном взаимодействии с разработчиками; Формирование требований на разработку/доработку НСИ, контроль поставленных задач и сроков на соответствие требованиям; Проектирование интеграционных решений между системами, постановка задач на интеграцию смежным системам; Помощь тестировщикам в разработке сценариев тестирования, дата стюарту при анализе нестандартных дефектов и ведения Корпоративной модели данных; Ведение документации на портале Confluence. Требования Опыт написания и согласования технической документации (ФТ, ТЗ, FSD, S2T, маппинг данных, методик тестирования, схемы процессов, интеграционных взаимодействий, и тд); Знание принципов/архитектурных подходов проектирования хранилищ данных; Знание основ моделирования бизнес-процессов BPMN; Знание основ тестирования; SQL на уровне написания простых запросов (select, group, having, join) в одной из СУБД - MSSQL / PostgreSQL / Oracle; Понимание методологии Agile и интерес к работе с данными; Владение английским языком на уровне чтения технической документации. Будет плюсом: Опыт работы с технологиями интеграции систем REST, MQ, SOAP Опыт работы с большими данными, знание Hadoop, Hive, Teradata, Apache Spark Опыт работы с ETL инструментами Понимание принципов построения Data Quality Условия Место работы: м. Кутузовская Оформление согласно ТК РФ Социальный пакет: ДМС, спортзал (фитнес, йога), бассейн, возможность обучения за счет компании, льготные условия кредитования; Премии по итогам года. ",42246
 Руководитель направления (автоматизация бизнес-процессов) ,от 250 000 ₽ /на руки, Москва , Почта России,"Обязанности: Разрабатывать предложения по оптимизации и автоматизации процессов, относящимся к компетенции Департамента, инициировать и контролировать их реализацию. Разрабатывать предложения по доработкам действующих информационных систем Общества с целью автоматизации процессов, а также инициировать предложения по созданию новых систем, контролировать их реализацию. Формировать бюджет расходов на реализацию проектов по автоматизации процессов обеспечения филиалов товарно-материальными ценностями (далее – ТМЦ). Подготавливать, организовывать и проводить презентации по реализуемым проектам. Инициировать и своевременно проводить совещания по проектам. Выстраивать систему внутренних коммуникаций в рамках проектов. Планировать, контролировать и обеспечивать качество результатов проектов. Своевременно информировать руководство о ходе работ по проектам. Требования: Опыт работы 5 лет и более по направлению автоматизации процессов, руководителем проектов по автоматизации Образование: высшее Знание программ MS Office (Visio, Project, Excel), 1С Наличие завершенных проектов по автоматизации бизнес-процессов Внимательность, ответственность, пунктуальность, грамотная устная и письменная речь, коммуникабельность Готовность работать в режиме многозадачности. Условия: Работа в крупной стабильной компании федерального значения; Возможность поучаствовать в масштабных, интересных и амбициозных проектах; Достойный уровень заработной платы (оклад + годовая премия); Оформление по ТК РФ; График работы: 5/2, офис Социальный пакет: ДМС; корпоративные скидки на членство в фитнес-клубах, страхование и путевки от туроператоров; специальные программы на банковские продукты; Перспективы карьерного и профессионального развития. ",42244
 DWH-аналитик ,от 180 000 ₽ /на руки," Москва, Удалённо ", Райффайзенбанк,"Описание: Наша команда занимается развитием централизованной Аналитической Платформы Данных. Ищем DWH-аналитика в команду развития аналитической платформы данных Analytical Data Platform включает в себя Data Lake (Hadoop) и аналитическое DWH (Green Plum).В рамках Data Lake решаем вопрос по стандартизации и автоматизации разработки загрузки/обработки ""сырых"" данных.В рамках DWH помогаем в консолидации и структурировании ""сырых"" данных в единую корпоративную модель. Мы отвечаем за логику загрузки данных в бизнес-слой DWH и качество данных в нем, а также предоставляем удобные инструменты для работы с Платформой. Задачи: участие в стратегическом проекте по миграции данных и расчетов из SAS на аналитическое DWH; сбор, анализ, структурирование, формализация и документирование требований в области загрузки данных по направлению Retail и Risks; выполнение оценок запросов на разработку/доработку функционала в системах (в части сроков и трудозатрат); исследование и анализ информационных потоков и данных в системах-источниках; проектирование моделей данных (Core, витрин); сопровождение процесса разработки; первичное тестирование и UAT выполненных доработок; поддержка 3-й линии, разбор инцидентов и исправление ошибок. Требования: опыт работы аналитиком данных/системным аналитиком в банках, IT компаниях, ритейле от 3 лет; опыт работы со средствами моделирования; способность анализировать бизнес-специфику задачи c целью применения разрабатываемых моделей; знание SQL на продвинутом уровне; опыт работы с промышленными СУБД (Oracle, MS SQL, DB2, PostgreSQL и пр.); опыт работы с ETL инструментами (анализ трансформаций в джобах); опыт разработки технических дизайнов (модель данных, бизнес-объекты, интеграции); контроль соблюдения требований к архитектуре, техническим решениям, совместимости и других технических требований; способность обрабатывать и структурировать большой объем сложной информации, а также доступно и наглядно её презентовать; опыт работы на проектах по внедрению / развитию хранилищ данных в роли бизнес-аналитика и системного аналитика. Будет большим плюсом: знания отчетности (управленческая, финансовая, риск-отчетность); знания банковских продуктов и процессов; знание SAS Base, SAS Macro; опыт работы с Green Plum; знание технологий Big Data (Hadoop, Hive, и т.п.); знание Python, подходов ML. Условия: возможность удаленной работы; комфортный офис всего в одной минуте от м. ""Технопарк"" с собственным спортзалом и кафе для желающих работать в гибридном формате; работу в конкретной команде над конкретным сервисом; обмен опытом и знаниями внутри комьюнити банка/своего проф направления, где делятся опытом, мыслями, собираются обсудить технические новшества; активное обучение в собственной IT-академии, возможность прокачаться в качестве ментора или автора профессиональных статей на внутреннем портале или открытых проф сообществах. понятная структура дохода и удобная выплата зарплаты каждые 2 недели (50% + 50%); ДМС со второй недели со стоматологией и массажем; страхование жизни/выезжающих за рубеж/страхование в направлении онкологии; специальные предложения по вкладам, кредитам и ипотеке; скидки от компаний-партнеров по Prime Zone; после испытательного срока доплата за 14 дней в году по больничному листу до оклада; доплата к отпускам, оформленным в январе и мае; 10 отгулов в год с полным сохранением заработка. ",42236
